epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,1027.28,0.5819,0.56958,1.00427,0.97442,0.97408,0.99253,0.86635,0.57433,0.53122,0.90489,0.000806528,0.000806528,0.000806528
24,1066.79,0.58237,0.56856,1.00695,0.99473,0.99387,0.99496,0.86136,0.60658,0.54433,0.92305,0.000778233,0.000778233,0.000778233
25,1105.28,0.57682,0.55237,0.99491,0.99677,0.97446,0.995,0.87035,0.60346,0.53431,0.91192,0.000749939,0.000749939,0.000749939
26,1152.06,0.5736,0.53661,0.99017,0.97508,0.89488,0.9252,0.8167,0.57329,0.4665,0.90861,0.000721645,0.000721645,0.000721645
27,1194.68,0.58072,0.5326,0.98571,0.86568,0.80578,0.88947,0.77002,0.65956,0.84713,0.9778,0.000693351,0.000693351,0.000693351
28,1245.64,0.53444,0.51998,0.97765,0.86745,0.92043,0.92921,0.79471,0.66626,0.54253,0.9738,0.000665057,0.000665057,0.000665057
29,1289.67,0.53969,0.50235,0.97876,0.83994,0.92157,0.95247,0.84085,0.57075,0.59933,0.90635,0.000636762,0.000636762,0.000636762
30,1333.43,0.54324,0.51232,0.97058,0.93027,0.97852,0.98521,0.85808,0.55963,0.44772,0.89505,0.000608468,0.000608468,0.000608468
31,1372.31,0.50823,0.47132,0.97456,0.97871,0.99275,0.99475,0.87656,0.54907,0.42878,0.88778,0.000580174,0.000580174,0.000580174
32,1405.55,0.50666,0.45574,0.97183,0.93459,0.95919,0.98475,0.86354,0.57789,0.43195,0.90073,0.00055188,0.00055188,0.00055188
33,1440.65,0.51147,0.4611,0.97692,0.98989,0.95652,0.99182,0.85288,0.56791,0.41567,0.89642,0.000523586,0.000523586,0.000523586
34,1482.93,0.50164,0.46043,0.96554,0.99837,0.99917,0.995,0.86253,0.55695,0.40732,0.89584,0.000495291,0.000495291,0.000495291
35,1523.83,0.48987,0.46583,0.9565,0.96907,0.96504,0.99165,0.87555,0.56145,0.38764,0.90301,0.000466997,0.000466997,0.000466997
36,1560.9,0.48367,0.44212,0.95196,0.95667,0.9332,0.98564,0.84971,0.60041,0.47022,0.91081,0.000438703,0.000438703,0.000438703
37,1600.11,0.50412,0.45649,0.96797,0.86419,0.94412,0.93347,0.84068,0.53229,0.49498,0.87735,0.000410409,0.000410409,0.000410409
38,1635.88,0.46194,0.4328,0.94672,0.92405,0.97134,0.99496,0.88118,0.5641,0.42599,0.89366,0.000382115,0.000382115,0.000382115
39,1679.58,0.47474,0.42857,0.95859,0.98618,0.98755,0.995,0.87063,0.53761,0.38518,0.88984,0.00035382,0.00035382,0.00035382
40,1716.29,0.48132,0.43859,0.96676,0.95869,0.93694,0.99332,0.87471,0.54426,0.42996,0.8918,0.000325526,0.000325526,0.000325526
41,1766.35,0.30003,0.3136,0.84758,0.93753,0.94909,0.98605,0.86102,0.56542,0.4694,0.90017,0.000297232,0.000297232,0.000297232
42,1803.88,0.31385,0.30692,0.83806,0.9154,0.95414,0.98043,0.85757,0.56103,0.46962,0.89343,0.000268938,0.000268938,0.000268938
43,1848.3,0.29624,0.29103,0.84485,0.95372,0.98184,0.99329,0.87491,0.51196,0.39348,0.8738,0.000240644,0.000240644,0.000240644
44,1928.08,0.28914,0.27836,0.82474,0.97907,0.99093,0.99417,0.89403,0.52933,0.35495,0.87885,0.000212349,0.000212349,0.000212349
45,1981.72,0.27496,0.26427,0.82678,0.97312,0.99592,0.99417,0.88074,0.52822,0.33594,0.87705,0.000184055,0.000184055,0.000184055
46,2019.42,0.27092,0.25765,0.84029,0.98747,0.98761,0.995,0.90475,0.50035,0.33104,0.86656,0.000155761,0.000155761,0.000155761
47,2059.17,0.27158,0.25866,0.83347,0.94324,0.98649,0.98446,0.89207,0.52332,0.37441,0.87409,0.000127467,0.000127467,0.000127467
48,2101.53,0.26016,0.25302,0.82554,0.95071,0.96595,0.98003,0.88148,0.49026,0.38821,0.86616,9.91726e-05,9.91726e-05,9.91726e-05
49,2139.65,0.25461,0.24404,0.82751,0.91988,0.96211,0.98797,0.88992,0.51065,0.38293,0.87577,7.08784e-05,7.08784e-05,7.08784e-05
50,2180.77,0.24934,0.23731,0.82196,0.95665,0.98028,0.98948,0.89399,0.49845,0.37134,0.86938,4.25842e-05,4.25842e-05,4.25842e-05
